t	I(t)	l(t)	F(t)
0.00	0.200000	0.010100	0.000361
5.00	0.205000	0.010095	0.000379
10.00	0.210000	0.010090	0.000398
15.00	0.201000	0.010086	0.000365
20.00	0.201000	0.010082	0.000365
25.00	0.201000	0.010078	0.000365
30.00	0.201000	0.010074	0.000365
35.00	0.201000	0.010070	0.000365
40.00	0.198500	0.010067	0.000356
45.00	0.193500	0.010064	0.000339
50.00	0.188500	0.010061	0.000322
55.00	0.183500	0.010064	0.000305
60.00	0.178500	0.010067	0.000288
65.00	0.199000	0.010070	0.000358
70.00	0.199000	0.010074	0.000358
75.00	0.199000	0.010078	0.000358
80.00	0.199000	0.010082	0.000358
85.00	0.199000	0.010086	0.000358
90.00	0.201500	0.010090	0.000366
95.00	0.206500	0.010095	0.000385
100.00	0.211500	0.010100	0.000403
